~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ MODEL  13500 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

# Ltot =  4.612168e36erg (lg L/Lsun = 3.078896), lg Teff = 3.578235, M*/Msun = 2.042628
#   J     Mr[-1]  lg P  lg T     lg R L/L(*)    X    Y   XC   XO  e(H) e(He) e C  e(g) e(Nu) lgRho   My Beta lgCap   Rad  Grad   Nad r../g  
    1 0.00000000 3.314 3.578 12.74907 1.0000 6698 3019 3.m3 0116 0.000 0.000 0.0 8.1m3 0.000-8.060 1.33 1.00-2.072 .3804 .3804 .3996 3.m13 R
   37-6.918023m7 3.327 3.583 12.74901 1.0000 6698 3019 3.m3 0116 0.000 0.000 0.0 8.4m3 0.000-8.052 1.33 1.00-2.024 .4178 .4184 .3996 3.m13 +
   38-7.158301m7 3.328 3.583 12.74901 1.0000 6698 3019 3.m3 0116 0.000 0.000 0.0 8.4m3 0.000-8.052 1.33 1.00-2.022 .4191 .4195 .3996 3.m13 +
   39-7.278441m7 3.328 3.584 12.74901 1.0000 6698 3019 3.m3 0116 0.000 0.000 0.0 8.4m3 0.000-8.052 1.33 1.00-2.021 .4198 .4205 .3996 3.m13 +
   40-7.518719m7 3.328 3.584 12.74900 1.0000 6698 3019 3.m3 0116 0.000 0.000 0.0 8.4m3 0.000-8.052 1.33 1.00-2.020 .4212 .4220 .3996 3.m13 +
  
   41-7.799044m7 3.329 3.584 12.74900 1.0000 6698 3019 3.m3 0116 0.000 0.000 0.0 8.4m3 0.000-8.051 1.33 1.00-2.018 .4228 .4232 .3996 3.m13 +
   42-7.939207m7 3.329 3.584 12.74900 1.0000 6698 3019 3.m3 0116 0.000 0.000 0.0 8.4m3 0.000-8.051 1.33 1.00-2.017 .4236 .4244 .3996 3.m13 +
   43-8.219532m7 3.329 3.584 12.74900 1.0000 6698 3019 3.m3 0116 0.000 0.000 0.0 8.4m3 0.000-8.051 1.33 1.00-2.015 .4252 .4256 .3996 3.m13 +
   44-8.359694m7 3.330 3.584 12.74900 1.0000 6698 3019 3.m3 0116 0.000 0.000 0.0 8.4m3 0.000-8.051 1.33 1.00-2.014 .4260 .4267 .3996 3.m13 +
   45-8.619996m7 3.330 3.585 12.74899 1.0000 6698 3019 3.m3 0116 0.000 0.000 0.0 8.4m3 0.000-8.050 1.33 1.00-2.012 .4275 .4282 .3996 3.m13 +
  
   46-8.860275m7 3.331 3.585 12.74899 1.0000 6698 3019 3.m3 0116 0.000 0.000 0.0 8.5m3 0.000-8.050 1.33 1.00-2.010 .4289 .4295 .3996 3.m13 +
   47-9.080530m7 3.331 3.585 12.74899 1.0000 6698 3019 3.m3 0116 0.000 0.000 0.0 8.5m3 0.000-8.050 1.33 1.00-2.008 .4302 .4305 .3996 3.m13 +
   48-9.200670m7 3.331 3.585 12.74899 1.0000 6698 3019 3.m3 0116 0.000 0.000 0.0 8.5m3 0.000-8.050 1.33 1.00-2.008 .4309 .4316 .3996 3.m13 +
   49-9.440948m7 3.332 3.585 12.74899 1.0000 6698 3019 3.m3 0116 0.000 0.000 0.0 8.5m3 0.000-8.050 1.33 1.00-2.006 .4323 .4331 .3996 3.m13 +
   50-9.721273m7 3.332 3.585 12.74898 1.0000 6698 3019 3.m3 0116 0.000 0.000 0.0 8.5m3 0.000-8.049 1.33 1.00-2.004 .4339 .4344 .3996 3.m13 +
  
   51-9.881459m7 3.332 3.586 12.74898 1.0000 6698 3019 3.m3 0116 0.000 0.000 0.0 8.5m3 0.000-8.049 1.33 1.00-2.003 .4348 .4353 .3996 3.m13 +
   52-1.004164m6 3.333 3.586 12.74898 1.0000 6698 3019 3.m3 0116 0.000 0.000 0.0 8.5m3 0.000-8.049 1.33 1.00-2.002 .4358 .4363 .3996 3.m13 +
   53-1.022185m6 3.333 3.586 12.74898 1.0000 6698 3019 3.m3 0116 0.000 0.000 0.0 8.5m3 0.000-8.049 1.33 1.00-2.000 .4369 .4374 .3996 3.m13 +
   54-1.040206m6 3.333 3.586 12.74898 1.0000 6698 3019 3.m3 0116 0.000 0.000 0.0 8.5m3 0.000-8.049 1.33 1.00-1.999 .4379 .4384 .3996 3.m13 +
   55-1.056225m6 3.334 3.586 12.74898 1.0000 6698 3019 3.m3 0116 0.000 0.000 0.0 8.5m3 0.000-8.048 1.33 1.00-1.998 .4389 .4393 .3996 3.m13 +
  
   56-1.072243m6 3.334 3.586 12.74898 1.0000 6698 3019 3.m3 0116 0.000 0.000 0.0 8.6m3 0.000-8.048 1.33 1.00-1.997 .4398 .4403 .3996 3.m13 +
   57-1.088262m6 3.334 3.586 12.74897 1.0000 6698 3019 3.m3 0116 0.000 0.000 0.0 8.6m3 0.000-8.048 1.33 1.00-1.995 .4408 .4412 .3996 3.m13 +
   58-1.104281m6 3.334 3.586 12.74897 1.0000 6698 3019 3.m3 0116 0.000 0.000 0.0 8.6m3 0.000-8.048 1.33 1.00-1.994 .4417 .4422 .3996 3.m13 +
